#ROIidx	AOI	Lambda	Bandwidth	ExposureTime	ROI_x	ROI_y	Delta	Psi
#-	deg	nm	nm	us	µm	µm	deg	deg
0	50.000	502.0	4.3	25000	229.7	661.1	177.347977	34.357288
0	50.000	503.0	4.3	25000	229.7	661.1	177.365097	34.319534
0	50.000	504.0	4.3	25000	229.7	661.1	177.391510	34.287098
0	50.000	505.0	4.3	25000	229.7	661.1	177.416245	34.259472
0	50.000	506.0	4.3	25000	229.7	661.1	177.437836	34.226662
0	50.000	507.0	4.3	25000	229.7	661.1	177.475861	34.192204
0	50.000	508.0	4.3	25000	229.7	661.1	177.511887	34.161446
0	50.000	509.0	4.3	25000	229.7	661.1	177.584961	34.125511
0	50.000	510.0	4.3	25000	229.7	661.1	177.716553	34.091175
0	50.000	511.0	4.3	25000	229.7	661.1	177.845032	34.058475
0	50.000	512.0	4.3	25000	229.7	661.1	177.971054	34.034134
0	50.000	513.0	4.3	25000	229.7	661.1	178.039764	34.017387
0	50.000	514.0	4.3	25000	229.7	661.1	178.111832	33.989822
0	50.000	515.0	4.3	25000	229.7	661.1	178.140045	33.965714
0	50.000	516.0	4.3	25000	229.7	661.1	178.146866	33.928772
0	50.000	517.0	4.3	25000	229.7	661.1	178.111130	33.890011
0	50.000	518.0	4.3	25000	229.7	661.1	178.106857	33.844311
0	50.000	519.0	4.3	25000	229.7	661.1	177.978760	33.806282
0	50.000	520.0	4.3	25000	229.7	661.1	177.905060	33.772381
0	50.000	521.0	4.3	25000	229.7	661.1	177.883987	33.739101
0	50.000	522.0	4.3	25000	229.7	661.1	177.885269	33.708363
0	50.000	523.0	4.3	25000	229.7	661.1	177.894394	33.665226
0	50.000	524.0	4.3	25000	229.7	661.1	177.915833	33.631905
0	50.000	525.0	4.3	25000	229.7	661.1	177.928818	33.592953
0	50.000	526.0	4.3	25000	229.7	661.1	177.935440	33.556034
0	50.000	527.0	4.3	25000	229.7	661.1	177.938217	33.532356
0	50.000	528.0	4.3	25000	229.7	661.1	177.933655	33.496742
0	50.000	529.0	4.3	25000	229.7	661.1	177.915222	33.474293
0	50.000	530.0	4.3	25000	229.7	661.1	177.930038	33.440689
0	50.000	531.0	4.3	25000	229.7	661.1	177.958191	33.398205
0	50.000	532.0	4.3	25000	229.7	661.1	177.967285	33.351257
0	50.000	533.0	4.2	25000	229.7	661.1	177.947784	33.313381
0	50.000	534.0	4.2	25000	229.7	661.1	177.925049	33.285271
0	50.000	535.0	4.2	25000	229.7	661.1	177.907211	33.264614
0	50.000	536.0	4.2	25000	229.7	661.1	177.921204	33.256035
0	50.000	537.0	4.2	25000	229.7	661.1	177.968201	33.244488
0	50.000	538.0	4.2	25000	229.7	661.1	178.014572	33.226028
0	50.000	539.0	4.2	25000	229.7	661.1	178.063660	33.191257
0	50.000	540.0	4.2	25000	229.7	661.1	178.079529	33.158688
0	50.000	541.0	4.2	25000	229.7	661.1	178.085083	33.114323
0	50.000	542.0	4.2	25000	229.7	661.1	178.065567	33.083580
0	50.000	543.0	4.2	25000	229.7	661.1	178.030304	33.068192
0	50.000	544.0	4.2	25000	229.7	661.1	178.012909	33.069016
0	50.000	545.0	4.2	25000	229.7	661.1	178.030319	33.070122
0	50.000	546.0	4.2	25000	229.7	661.1	178.083344	33.065327
