% Model:              Membran2D3D25membranethickness.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 4 2025, 21:29
% Dimension:          2
% Nodes:              232
% Expressions:        1
% Description:        Displacement field, Z component
% Length unit:        µm
% cpl1x                   cpl1y                    w (µm) @ memb_thick=2.5, edge_width=200, m_stylus=1, circ_pos=80
-65.20536511861992        -65.20536511861994       -1.820826663683451E-5
-64.43605854369166        -64.43605854369166       -2.236475777460506E-5
-63.53207415898017        -63.53207415898015       -2.7768854004151558E-5
-62.733018169929          -62.73301816992899       -3.3002963473377164E-5
-62.051688489551935       -62.051688489551935      -3.7798001927116107E-5
499.9999999999999         499.9999999999999        1.1998982380722189E-36
462.11904772907565        462.1190477290757        -8.005274886848193E-7
-60.99309297547245        -60.99309297547244       -4.583960616519998E-5
-59.867815255113          -59.867815255112994      -5.515846664851927E-5
450.06561853961955        450.0656185396195        -6.757274724978945E-7
433.09829522028224        433.09829522028224       -8.901977456380832E-7
-58.5485536889519         -58.548553688951884      -6.706553069840349E-5
-57.65746389855128        -57.65746389855126       -7.569352999938616E-5
406.8683304081414         406.86833040814133       -8.472138658420847E-7
404.86858214497636        404.86858214497636       -8.237355077927545E-7
-56.867996144293265       -56.86799614429326       -8.372279048816728E-5
-55.5392557893947         -55.53925578939469       -9.803274291344344E-5
402.7970809398303         402.79708093983027       -8.188852286404182E-7
373.445285961653          373.445285961653         -9.000396787253742E-7
353.2174518048988         353.21745180489893       -8.886437197238558E-7
-54.301277277296336       -54.30127727729633       -1.1224465436627708E-4
-53.15718891213175        -53.15718891213174       -1.261158805724214E-4
330.6845660527718         330.68456605277186       -8.880929842706139E-7
306.9665897844655         306.96658978446555       -8.91328353102469E-7
277.27954199079113        277.27954199079113       -8.897496274905139E-7
275.1343562166617         275.1343562166617        -8.897138636843514E-7
-51.97655618561926        -51.976556185619245      -1.4115947637954198E-4
-50.21367810834012        -50.21367810834012       -1.6495573773838627E-4
270.08221772482705        270.08221772482705       -8.90229743408357E-7
243.58141080393062        243.58141080393065       -8.919281414289188E-7
-48.108985031198046       -48.108985031198046      -1.9540757283163527E-4
-46.9402199121527         -46.9402199121527        -2.1325849706083837E-4
228.66189643082922        228.66189643082922       -8.926161593996113E-7
203.27116418625454        203.27116418625457       -8.93253290207503E-7
-45.85282113115773        -45.85282113115773       -2.304572722088576E-4
-43.954191390568226       -43.95419139056822       -2.618140208730886E-4
168.03406112212005        168.03406112212005       -8.757397576535876E-7
158.21468719898039        158.2146871989804        -8.615248617620879E-7
-42.580264869301374       -42.580264869301374      -2.8554641977911606E-4
-40.80379857981617        -40.80379857981617       -3.1750288222613226E-4
138.39434708774576        138.39434708774576       -8.372908529193178E-7
129.72786698895567        129.7278669889557        -8.688140389923411E-7
