#ROIidx	AOI	Lambda	Bandwidth	ExposureTime	ROI_x	ROI_y	Delta	Psi
#-	deg	nm	nm	us	µm	µm	deg	deg
0	50.000	478.0	4.4	20000	263.3	475.9	175.551010	34.956772
0	50.000	479.0	4.4	20000	263.3	475.9	175.563065	34.947517
0	50.000	480.0	4.4	20000	263.3	475.9	175.585495	34.918316
0	50.000	481.0	4.4	20000	263.3	475.9	175.609604	34.898483
0	50.000	482.0	4.4	20000	263.3	475.9	175.648148	34.882366
0	50.000	483.0	4.4	20000	263.3	475.9	175.660843	34.868881
0	50.000	484.0	4.3	20000	263.3	475.9	175.687958	34.842644
0	50.000	485.0	4.3	20000	263.3	475.9	175.698517	34.809433
0	50.000	486.0	4.3	20000	263.3	475.9	175.705719	34.795036
0	50.000	487.0	4.3	20000	263.3	475.9	175.714523	34.773243
0	50.000	488.0	4.3	20000	263.3	475.9	175.731857	34.742573
0	50.000	489.0	4.3	20000	263.3	475.9	175.751480	34.721886
0	50.000	490.0	4.3	20000	263.3	475.9	175.766281	34.701527
0	50.000	491.0	4.3	20000	263.3	475.9	175.774231	34.677467
0	50.000	492.0	4.3	20000	263.3	475.9	175.806595	34.661381
0	50.000	493.0	4.3	20000	263.3	475.9	175.828323	34.637341
0	50.000	494.0	4.3	20000	263.3	475.9	175.843048	34.609673
0	50.000	495.0	4.3	20000	263.3	475.9	175.864029	34.586716
0	50.000	496.0	4.3	20000	263.3	475.9	175.865616	34.559002
0	50.000	497.0	4.3	20000	263.3	475.9	175.859680	34.530266
0	50.000	498.0	4.3	20000	263.3	475.9	175.853836	34.513943
0	50.000	499.0	4.3	20000	263.3	475.9	175.854156	34.503345
0	50.000	500.0	4.3	20000	263.3	475.9	175.842316	34.483284
0	50.000	501.0	4.3	20000	263.3	475.9	175.857285	34.462467
0	50.000	502.0	4.3	20000	263.3	475.9	175.887161	34.443638
0	50.000	503.0	4.3	20000	263.3	475.9	175.917160	34.419388
0	50.000	504.0	4.3	20000	263.3	475.9	175.953644	34.390305
0	50.000	505.0	4.3	20000	263.3	475.9	175.994095	34.360649
0	50.000	506.0	4.3	20000	263.3	475.9	176.011383	34.319405
0	50.000	507.0	4.3	20000	263.3	475.9	176.017761	34.277237
0	50.000	508.0	4.3	20000	263.3	475.9	176.004929	34.252254
0	50.000	509.0	4.3	20000	263.3	475.9	175.990585	34.223877
0	50.000	510.0	4.3	20000	263.3	475.9	175.956985	34.210129
0	50.000	511.0	4.3	20000	263.3	475.9	175.961975	34.198982
0	50.000	512.0	4.3	20000	263.3	475.9	175.988205	34.183594
0	50.000	513.0	4.3	20000	263.3	475.9	175.990204	34.179752
0	50.000	514.0	4.3	20000	263.3	475.9	176.031982	34.173031
0	50.000	515.0	4.3	20000	263.3	475.9	176.113266	34.152786
0	50.000	516.0	4.3	20000	263.3	475.9	176.186523	34.124016
0	50.000	517.0	4.3	20000	263.3	475.9	176.249176	34.068432
0	50.000	518.0	4.3	20000	263.3	475.9	176.279190	34.017426
0	50.000	519.0	4.3	20000	263.3	475.9	176.273666	33.949100
0	50.000	520.0	4.3	20000	263.3	475.9	176.222229	33.893055
0	50.000	521.0	4.3	20000	263.3	475.9	176.157074	33.853317
0	50.000	522.0	4.3	20000	263.3	475.9	176.081268	33.833946
0	50.000	523.0	4.3	20000	263.3	475.9	176.007828	33.819286
0	50.000	524.0	4.3	20000	263.3	475.9	175.948196	33.821655
0	50.000	525.0	4.3	20000	263.3	475.9	175.928497	33.840195
0	50.000	526.0	4.3	20000	263.3	475.9	175.960892	33.856834
0	50.000	527.0	4.3	20000	263.3	475.9	176.024368	33.882725
0	50.000	528.0	4.3	20000	263.3	475.9	176.132278	33.883396
0	50.000	529.0	4.3	20000	263.3	475.9	176.252106	33.869354
0	50.000	530.0	4.3	20000	263.3	475.9	176.358490	33.822292
0	50.000	531.0	4.3	20000	263.3	475.9	176.446915	33.763020
0	50.000	532.0	4.3	20000	263.3	475.9	176.485046	33.677776
0	50.000	533.0	4.2	20000	263.3	475.9	176.475616	33.605488
0	50.000	534.0	4.2	20000	263.3	475.9	176.397858	33.533009
0	50.000	535.0	4.2	20000	263.3	475.9	176.276596	33.488647
0	50.000	536.0	4.2	20000	263.3	475.9	176.149994	33.458794
0	50.000	537.0	4.2	20000	263.3	475.9	175.993851	33.463245
0	50.000	538.0	4.2	20000	263.3	475.9	175.862686	33.505272
0	50.000	539.0	4.2	20000	263.3	475.9	175.785583	33.559437
0	50.000	540.0	4.2	20000	263.3	475.9	175.787903	33.623985
0	50.000	541.0	4.2	20000	263.3	475.9	175.874725	33.690105
0	50.000	542.0	4.2	20000	263.3	475.9	176.022339	33.742031
0	50.000	543.0	4.2	20000	263.3	475.9	176.202469	33.759106
0	50.000	544.0	4.2	20000	263.3	475.9	176.419083	33.758785
0	50.000	545.0	4.2	20000	263.3	475.9	176.642227	33.725094
0	50.000	546.0	4.2	20000	263.3	475.9	176.812500	33.647518
0	50.000	547.0	4.2	20000	263.3	475.9	176.940552	33.550625
0	50.000	548.0	4.2	20000	263.3	475.9	176.993866	33.436935
0	50.000	549.0	4.2	20000	263.3	475.9	176.954758	33.321625
0	50.000	550.0	4.2	20000	263.3	475.9	176.823517	33.214378
0	50.000	551.0	4.2	20000	263.3	475.9	176.614792	33.131248
0	50.000	552.0	4.2	20000	263.3	475.9	176.334213	33.103123
0	50.000	553.0	4.2	20000	263.3	475.9	176.073715	33.121094
0	50.000	554.0	4.2	20000	263.3	475.9	175.856628	33.174122
0	50.000	555.0	4.2	20000	263.3	475.9	175.690018	33.283134
0	50.000	556.0	4.2	20000	263.3	475.9	175.628815	33.407841
0	50.000	557.0	4.2	20000	263.3	475.9	175.651062	33.527313
0	50.000	558.0	4.2	20000	263.3	475.9	175.784531	33.644070
0	50.000	559.0	4.2	20000	263.3	475.9	175.997681	33.736950
0	50.000	560.0	4.2	20000	263.3	475.9	176.271240	33.792080
0	50.000	561.0	4.2	20000	263.3	475.9	176.571182	33.798508
0	50.000	562.0	4.2	20000	263.3	475.9	176.907242	33.774868
0	50.000	563.0	4.2	20000	263.3	475.9	177.200729	33.705063
0	50.000	564.0	4.2	20000	263.3	475.9	177.422699	33.584419
0	50.000	565.0	4.2	20000	263.3	475.9	177.575836	33.444454
0	50.000	566.0	4.2	20000	263.3	475.9	177.618301	33.268959
0	50.000	567.0	4.2	20000	263.3	475.9	177.542099	33.106049
0	50.000	568.0	4.2	20000	263.3	475.9	177.318375	32.935005
0	50.000	569.0	4.2	20000	263.3	475.9	176.985474	32.826241
0	50.000	570.0	4.2	20000	263.3	475.9	176.559387	32.772938
