#ROIidx	AOI	Lambda	Bandwidth	ExposureTime	ROI_x	ROI_y	Delta	Psi
#-	deg	nm	nm	us	µm	µm	deg	deg
0	50.000	481.0	4.4	50000	263.3	475.9	NaN	NaN
0	50.000	482.0	4.4	50000	263.3	475.9	NaN	NaN
0	50.000	483.0	4.4	50000	263.3	475.9	NaN	NaN
0	50.000	484.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	485.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	486.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	487.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	488.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	489.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	490.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	491.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	492.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	493.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	494.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	495.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	496.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	497.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	498.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	499.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	500.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	501.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	502.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	503.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	504.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	505.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	506.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	507.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	508.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	509.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	510.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	511.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	512.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	513.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	514.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	515.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	516.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	517.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	518.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	519.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	520.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	521.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	522.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	523.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	524.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	525.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	526.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	527.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	528.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	529.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	530.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	531.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	532.0	4.3	50000	263.3	475.9	NaN	NaN
0	50.000	533.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	534.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	535.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	536.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	537.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	538.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	539.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	540.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	541.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	542.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	543.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	544.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	545.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	546.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	547.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	548.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	549.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	550.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	551.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	552.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	553.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	554.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	555.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	556.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	557.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	558.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	559.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	560.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	561.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	562.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	563.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	564.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	565.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	566.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	567.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	568.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	569.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	570.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	571.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	572.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	573.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	574.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	575.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	576.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	577.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	578.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	579.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	580.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	581.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	582.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	583.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	584.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	585.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	586.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	587.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	588.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	589.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	590.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	591.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	592.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	593.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	594.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	595.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	596.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	597.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	598.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	599.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	600.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	601.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	602.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	603.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	604.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	605.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	606.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	607.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	608.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	609.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	610.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	611.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	612.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	613.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	614.0	4.1	50000	263.3	475.9	NaN	NaN
0	50.000	615.0	4.1	50000	263.3	475.9	NaN	NaN
0	50.000	616.0	4.1	50000	263.3	475.9	NaN	NaN
0	50.000	617.0	4.1	50000	263.3	475.9	NaN	NaN
0	50.000	618.0	4.1	50000	263.3	475.9	NaN	NaN
0	50.000	619.0	4.1	50000	263.3	475.9	NaN	NaN
0	50.000	620.0	4.1	50000	263.3	475.9	NaN	NaN
0	50.000	621.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	622.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	623.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	624.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	625.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	626.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	627.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	628.0	4.1	50000	263.3	475.9	NaN	NaN
0	50.000	629.0	4.1	50000	263.3	475.9	NaN	NaN
0	50.000	630.0	4.1	50000	263.3	475.9	NaN	NaN
0	50.000	631.0	4.1	50000	263.3	475.9	NaN	NaN
0	50.000	632.0	4.1	50000	263.3	475.9	NaN	NaN
0	50.000	633.0	4.1	50000	263.3	475.9	NaN	NaN
0	50.000	634.0	4.1	50000	263.3	475.9	NaN	NaN
0	50.000	635.0	4.1	50000	263.3	475.9	NaN	NaN
0	50.000	636.0	4.1	50000	263.3	475.9	NaN	NaN
0	50.000	637.0	4.1	50000	263.3	475.9	NaN	NaN
0	50.000	638.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	639.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	640.0	4.2	50000	263.3	475.9	NaN	NaN
0	50.000	641.0	4.1	50000	263.3	475.9	NaN	NaN
0	50.000	642.0	4.1	50000	263.3	475.9	NaN	NaN
0	50.000	643.0	4.1	50000	263.3	475.9	NaN	NaN
0	50.000	644.0	4.1	50000	263.3	475.9	NaN	NaN
0	50.000	645.0	4.1	50000	263.3	475.9	NaN	NaN
0	50.000	646.0	4.1	50000	263.3	475.9	NaN	NaN
0	50.000	647.0	4.1	50000	263.3	475.9	NaN	NaN
0	50.000	648.0	4.1	50000	263.3	475.9	NaN	NaN
0	50.000	649.0	4.1	50000	263.3	475.9	NaN	NaN
0	50.000	650.0	4.1	50000	263.3	475.9	NaN	NaN
0	50.000	651.0	4.1	50000	263.3	475.9	NaN	NaN
0	50.000	652.0	4.1	50000	263.3	475.9	NaN	NaN
0	50.000	653.0	4.1	50000	263.3	475.9	NaN	NaN
0	50.000	654.0	4.1	50000	263.3	475.9	NaN	NaN
0	50.000	655.0	4.1	50000	263.3	475.9	NaN	NaN
0	50.000	656.0	4.1	50000	263.3	475.9	NaN	NaN
0	50.000	657.0	4.1	50000	263.3	475.9	NaN	NaN
0	50.000	658.0	4.1	50000	263.3	475.9	181.542999	31.725140
